dataset,buy_probability_threshold,predicted_max_return_threshold,buy_count,buy_rate,hit_rate,average_return_after_costs,total_return_after_costs,max_drawdown
validation,0.5,0.001,17926,0.5687182741116751,0.5620885864108,-0.0024101788408771472,-43.20486590156374,-1.0
validation,0.5,0.0015,17926,0.5687182741116751,0.5620885864108,-0.0024101788408771472,-43.20486590156374,-1.0
validation,0.5,0.002,17393,0.5518083756345178,0.567412177312712,-0.0024073937411310743,-41.871799339492775,-1.0
validation,0.5,0.0025,12643,0.40111040609137055,0.6187613699280234,-0.002381934842461292,-30.114802213238114,-0.9999999999999333
validation,0.5,0.003,8745,0.27744289340101524,0.6678101772441395,-0.0023669511562202272,-20.698987861145888,-0.999999999146396
validation,0.55,0.001,15203,0.4823286802030457,0.5916595408800894,-0.0023993239317227793,-36.47692173398141,-0.9999999999999999
validation,0.55,0.0015,15203,0.4823286802030457,0.5916595408800894,-0.0023993239317227793,-36.47692173398141,-0.9999999999999999
validation,0.55,0.002,15170,0.48128172588832485,0.5920237310481213,-0.002398171797297855,-36.380266165008464,-0.9999999999999999
validation,0.55,0.0025,12613,0.4001586294416244,0.6192816934908428,-0.0023804387264934495,-30.02447365726188,-0.9999999999999271
validation,0.55,0.003,8745,0.27744289340101524,0.6678101772441395,-0.0023669511562202272,-20.698987861145888,-0.999999999146396
validation,0.6,0.001,12468,0.3955583756345178,0.6229547641963427,-0.002378494025771334,-29.655063513316993,-0.9999999999998938
validation,0.6,0.0015,12468,0.3955583756345178,0.6229547641963427,-0.002378494025771334,-29.655063513316993,-0.9999999999998938
validation,0.6,0.002,12467,0.3955266497461929,0.6230047324937836,-0.002377484536281269,-29.64009971381858,-0.9999999999998922
validation,0.6,0.0025,11844,0.37576142131979695,0.6278284363390746,-0.002384304067885739,-28.23969738003869,-0.9999999999995616
validation,0.6,0.003,8731,0.27699873096446703,0.6679647233993815,-0.002369287384986195,-20.68624815831447,-0.9999999991353675
validation,0.62,0.001,11283,0.3579631979695431,0.6375077550296907,-0.0023702509836303603,-26.743541848301355,-0.9999999999980309
